NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
COALINDIA,17-Dec-2018,B,242.59377,250.21875,S,242.08,249.39,250.7
NTPC,17-Dec-2018,B,139.49376,143.85625,S,139.91,144.35,149.5
HDFC,19-Dec-2018,S,2820.7283,2846.4468,B,2822.56,2848.36,1977.0
ULTRACEMCO,14-Dec-2018,B,3920.5188,4011.4814,S,3930.20,4019.18,4073.0
TITAN,11-Dec-2018,B,908.7124,927.60315,S,914.65,935.28,925.0
POWERGRID,14-Dec-2018,B,180.12814,185.23126,S,182.50,187.73,198.05
INFRATEL,19-Dec-2018,B,251.93752,258.8656,S,251.65,258.79,262.0
RELIANCE,20-Dec-2018,S,1117.6937,1143.3375,B,1117.69,1143.34,1129.9
JSWSTEEL,19-Dec-2018,B,300.27188,310.57187,S,300.58,310.29,309.0
HINDUNILVR,30-Oct-2018,B,1529.5468,1573.9812,S,1791.82,1833.61,1833.0
TCS,20-Dec-2018,S,1964.9344,2005.5406,B,1964.93,2005.54,1955.0
ZEEL,18-Dec-2018,S,471.01254,486.4719,B,470.36,488.83,461.5
TATASTEEL,18-Dec-2018,B,513.3812,528.0032,S,514.01,527.19,523.15
CIPLA,14-Dec-2018,S,517.45935,531.5594,B,518.77,532.50,520.4
ICICIBANK,17-Dec-2018,B,348.84067,356.06876,S,349.75,357.33,362.8
GAIL,14-Dec-2018,B,338.075,348.68436,S,340.19,350.57,354.05
HINDALCO,17-Dec-2018,B,217.95627,225.04375,S,219.56,225.84,224.25
AXISBANK,13-Dec-2018,B,609.52185,625.1469,S,609.85,624.88,633.3
MARUTI,13-Dec-2018,B,7403.4814,7567.809,S,7479.55,7648.98,7812.3
VEDL,13-Dec-2018,B,195.08124,201.45,S,196.94,202.68,203.1
WIPRO,30-Nov-2018,B,316.4531,325.20624,S,325.02,334.53,333.5
BHARTIARTL,14-Dec-2018,B,308.69998,321.075,S,305.20,317.78,315.85
SBIN,13-Dec-2018,B,279.45938,286.06558,S,281.40,287.90,294.0
GRASIM,14-Dec-2018,B,821.38745,845.5281,S,821.97,845.33,828.5
DHFL,13-Dec-2018,B,209.34375,221.94688,S,207.18,217.72,238.5
AJANTPHARM,19-Dec-2018,B,1081.7999,1126.7375,S,1081.74,1126.33,1163.7
MRPL,19-Dec-2018,B,71.93437,74.10313,S,71.82,73.99,77.6
IDFCBANK,13-Dec-2018,B,37.003124,38.374996,S,37.68,39.08,43.9
APOLLOHOSP,19-Dec-2018,B,1207.3875,1250.4031,S,1206.74,1249.82,1274.95
RECLTD,20-Dec-2018,B,102.47187,108.17813,S,102.47,108.18,109.5
PFC,18-Dec-2018,B,89.04999,95.112495,S,88.28,94.44,98.5
DISHTV,13-Dec-2018,B,35.853127,37.60625,S,35.72,37.50,39.15
TATACHEM,17-Dec-2018,B,678.14685,696.20306,S,679.70,697.84,721.4
TORNTPHARM,28-Nov-2018,B,1628.0876,1679.1687,S,1705.07,1762.46,1815.0
